serial,gross,genre,dir_rep,actor_rep,actress_rep,villain_rep,movie_likes,trailer_likes,poster_likes,budget,language,country,year
80154,2.47,13192101,5,5,6,1,5558,6203,96,4885838,274,126,1936
80155,1.9,6213391,2,4,1,8,7744,4744,1792,4267634,92,13,1930
80156,2.72,4579185,1,4,2,5,8417,6011,3217,3474654,233,270,1872
80157,3.06,12573085,13,1,9,1,79,2845,9050,5917549,224,29,1864
80158,3.08,6020588,13,6,6,2,2640,3020,7060,3491916,163,139,1804
80159,1.82,29931500,14,6,7,2,5625,7437,643,4954147,145,204,2004
80160,2.23,24906648,7,5,2,1,4579,623,2755,4226993,281,43,1905
80161,2.53,7000393,6,6,1,3,7554,2763,8798,9523582,111,117,1899
80162,2.42,28039551,11,8,1,9,6406,8107,7287,8988078,224,298,1894
80163,2.65,23246506,1,9,5,3,1224,6458,7226,3312598,223,28,1896
80164,1.87,7298699,10,3,2,5,9760,1838,1539,7716676,116,59,1917
80165,1.79,23100391,10,2,7,9,3253,1709,9452,1940734,44,127,2015
80166,1.59,16239659,10,6,4,5,7442,9392,8119,7146365,140,30,2001
80167,3.28,341908,8,1,7,9,1071,5047,3584,1008002,152,287,1849
80168,2.66,17082214,2,2,6,3,3884,1374,6174,9483319,276,18,1998
80169,3.86,3696208,12,8,9,4,3130,4184,5427,7487840,177,178,1905
80170,2.8,8673947,13,1,9,3,7516,3491,7250,195351,169,35,1980
80171,1.85,18202325,9,7,7,3,1063,7219,8732,4979265,55,39,1907
80172,2.64,17629528,8,3,9,8,6395,6029,4162,5168475,82,217,1867
80173,2.17,5486305,14,7,3,8,1984,9760,8871,6239363,78,107,1849
80174,1.74,20562231,7,2,2,4,705,8769,3949,8079727,266,37,1906
80175,2.35,7236103,11,9,5,2,2480,5068,9948,2743847,250,292,1861
80176,2.35,4328000,6,3,6,2,4333,593,1447,1613694,224,283,1900
80177,1.74,25289719,9,7,6,8,5016,8960,8042,2431470,146,123,1856
80178,1.66,2679564,6,9,3,7,7246,7111,5553,8068555,252,241,1987
80179,3.98,24865715,3,7,8,2,7107,335,1933,1624975,228,83,1876
80180,2.12,24431090,14,1,6,7,3455,3581,7374,1958570,257,195,1952
80181,2.88,12448944,13,7,8,1,1429,8417,1908,6614606,124,257,1829
80182,2.39,21064604,6,2,6,9,8345,9460,9338,8901786,296,267,1995
80183,3.27,11533511,10,8,7,7,3302,2025,9382,4765232,210,156,1866
80184,3.14,16521795,8,3,9,8,9331,8764,1941,9654373,63,139,1905
80185,2.62,28117004,11,9,1,9,3411,3730,4505,9081197,23,210,1838
80186,1.97,11338816,10,7,9,1,3030,2256,7277,7332489,109,32,1855
80187,2.77,8292098,7,8,6,6,2503,6756,1970,6808041,1,95,1929
80188,2.12,24771694,4,3,4,3,3907,5415,5903,6129995,249,142,1847
80189,3.99,11822718,4,6,7,4,7654,9251,8573,7494589,132,268,1951
80190,1.89,23989246,5,3,5,2,6575,1039,9455,994121,189,281,1857
80191,3.85,10776683,2,4,5,2,5145,7255,7237,7204295,205,78,2000
80192,2.61,21377685,4,7,5,4,3030,2989,7970,6866143,35,268,1859
80193,1.57,2515540,7,3,9,8,371,4566,8857,9015672,290,144,1836
80194,1.59,5607268,8,4,6,2,6378,3977,4826,2491209,65,149,1917
80195,2.39,29037592,13,9,4,4,4244,6557,938,7537829,183,96,1988
80196,3.92,11047718,8,5,5,5,380,3610,7133,1353487,267,24,1839
80197,3.53,29873293,12,4,1,2,8026,5429,5773,6117941,69,77,1843
80198,2.06,21198052,3,3,9,7,8680,579,7662,3249376,168,173,1916
80199,2.78,7406824,13,9,1,3,6337,3462,4928,1294459,218,194,1806
80200,1.73,1302859,3,2,1,1,426,8807,691,9853981,277,266,1877
80201,3.32,29162400,1,3,8,8,1478,5957,2715,5574586,189,231,1885
80202,2.98,20976567,4,5,9,8,4179,4879,1558,5278928,125,110,1881
80203,3.02,2425304,6,3,4,6,2292,86,3076,7580202,7,196,1992
80204,2.69,11621642,2,6,2,4,6806,7058,9427,5366590,142,37,1990
80205,2.19,8188413,9,8,1,2,2281,9386,811,1827833,297,44,1841
80206,1.86,28554723,4,8,9,5,18,2109,8451,6098619,23,275,1984
80207,3,2044427,4,7,9,6,994,7840,5257,1648771,113,274,1901
80208,3.02,11832439,11,8,8,2,3400,3807,5841,6004575,28,147,1996
80209,3.81,5454535,2,9,6,6,8721,2323,4606,7768920,138,134,1910
80210,2.77,4841319,7,3,2,3,228,5560,3949,8734126,4,65,1887
80211,2.82,4578466,10,7,7,2,2884,6577,1563,9033348,256,11,1860
80212,2.68,3083404,1,9,5,8,8865,2357,3583,7009253,141,287,1858
80213,3.04,21127955,2,7,9,6,7286,6276,8250,8240897,229,110,1819
80214,3.17,22814184,7,8,7,7,7550,4943,7515,3474853,67,39,1906
80215,2.19,21295726,6,3,7,7,7931,8894,8685,3120854,297,271,1886
80216,1.89,3189136,13,6,1,9,6674,5076,738,3103258,32,23,1940
80217,3.33,13454182,5,1,4,6,8029,6857,7632,1887549,83,5,1915
80218,3.53,4835799,2,7,2,9,1956,887,5989,7732505,201,154,1842
80219,2.67,15456505,13,8,5,6,168,5844,173,9064633,297,223,1942
80220,2.62,13152289,9,1,4,3,4240,530,5052,7658443,299,138,1934
80221,1.96,666562,6,7,4,3,8729,5544,2559,8072485,247,215,1938
80222,3.82,3211585,7,6,9,5,7910,4404,2289,5838839,37,205,1811
80223,2.93,19169973,13,6,3,8,6798,3294,478,1602638,108,60,1921
80224,2.91,2482490,2,7,2,2,5356,6455,894,6368070,3,212,1896
80225,1.59,20222169,9,1,8,9,4740,5449,9584,763166,92,76,1825
80226,3.1,28206065,11,9,7,7,9798,48,1193,1601582,153,75,1967
80227,2.15,24984258,11,2,8,1,5073,9275,4941,9742779,91,24,1891
80228,2.78,16966856,4,4,6,1,7903,9085,8802,8131344,148,132,1993
80229,2.76,29782416,14,7,9,7,6167,3658,5733,6294103,179,189,1809
80230,2.26,12932210,3,7,6,2,3234,5823,566,7677858,41,166,1882
80231,2.57,13374435,14,8,9,8,7811,9209,2758,2368268,127,179,1999
80232,2.39,26841820,4,3,7,4,5781,974,1090,1665056,258,216,2008
80233,1.67,28501960,9,9,6,8,2038,2378,7486,4917451,185,181,1860
80234,3.89,12396008,10,3,5,8,8524,1604,956,6879106,197,68,1821
80235,2.31,8034290,6,6,6,2,6883,2302,7355,1581215,111,142,1812
80236,1.77,15954855,8,2,5,6,6196,382,7770,843075,22,108,1973
80237,2.35,7808806,7,3,6,5,2647,3792,9060,9039449,179,256,1928
80238,1.53,4495939,6,5,3,5,8094,3399,4479,2064201,271,219,1914
80239,2.76,21712671,10,2,5,8,2326,6547,7817,6035627,74,116,1828
80240,3.88,23903211,13,5,6,6,4486,7702,6777,5580189,247,25,1915
80241,1.55,1012504,4,7,5,5,7283,3902,6591,6609430,27,30,1836
80242,3.01,8580272,8,3,6,8,3298,2045,9134,1498542,233,66,1878
80243,2.73,9514696,13,1,7,2,9431,6399,6843,5529072,31,212,1911
80244,2.91,24602973,2,2,5,3,7339,6755,693,3134649,128,277,1914
80245,2.12,23969686,5,2,8,9,3279,6529,1003,9680422,135,278,1841
80246,3.03,22193009,1,2,1,6,216,6588,4006,8264349,3,105,1890
80247,2.75,2174426,9,4,4,1,516,5037,6230,1613453,48,196,1988
80248,2.05,21787266,5,8,9,1,5412,8411,1943,7114041,273,214,1946
80249,2.14,7964835,1,2,6,3,3620,3538,1956,9346347,189,170,1968
80250,3.79,9593741,13,2,7,8,6875,8706,1901,4698171,41,295,1899
80251,3.84,25329672,9,6,8,5,72,1660,5516,228280,172,268,1819
80252,1.92,18526196,7,1,1,6,3362,4430,2619,1310488,198,91,1926
80253,2.4,8406145,11,5,8,2,3772,298,3969,1954194,201,115,1843
80254,2.53,6375617,1,4,9,6,6680,533,8374,4712539,22,259,1831
80255,3.86,11421633,10,9,6,7,4234,7171,1122,4186992,92,121,1830
80256,3.97,18655402,9,6,8,9,2797,7373,9682,2346212,159,276,1939
80257,3.54,5428003,8,7,4,2,1226,4409,9319,1827012,164,117,1805
80258,2.95,5815456,4,5,6,4,2469,5190,1262,7821661,287,211,1813
80259,1.69,3456620,1,8,1,4,4507,715,1672,6930555,18,172,1897
80260,3.35,20679744,8,3,9,9,715,9154,8064,5396696,227,127,1815
80261,2.52,27750524,9,6,4,6,1616,8458,1093,3180474,104,271,1848
80262,3.7,16330504,5,1,6,5,2300,6557,8131,1420041,189,172,1868
80263,2.22,16880910,14,6,3,6,3806,9014,6479,9268112,56,250,2000
80264,3.57,18516856,13,3,6,5,4462,8821,7999,7796180,41,22,1848
80265,2.06,12813135,12,9,4,1,1984,2282,9611,3492887,141,52,1848
80266,3.19,16599903,13,8,1,2,3782,6716,5084,8607796,186,297,1867
80267,3.92,8674824,13,3,2,8,8242,9635,1800,6092134,154,154,1950
80268,1.52,15643365,6,5,1,4,8887,3924,7356,2651673,88,169,2016
80269,1.72,13937974,1,2,8,9,9218,1243,1883,9735287,34,130,1808
80270,3.16,402916,12,4,7,1,8628,9965,9226,4042333,56,78,1974
80271,2.05,13911662,7,9,8,9,9009,9174,4318,4775389,296,162,1849
80272,2.4,28555714,8,6,1,6,8045,9885,7010,8577430,136,135,1814
80273,2.51,22428617,3,6,5,1,1414,8152,5291,899066,294,16,1932
80274,2.67,13676868,13,5,5,1,1204,6697,8393,7843617,279,278,1849
80275,1.52,4445618,6,6,5,5,8887,8717,1711,7911831,70,218,1846
80276,3.4,11102844,3,5,9,7,1527,2075,9238,184125,286,135,1845
80277,2.98,9182887,6,8,3,8,7510,7864,9307,1170687,187,83,1841
80278,1.68,16763376,1,3,3,4,466,4026,9930,3249874,254,76,1874
80279,3.48,19289635,6,1,9,9,52,7885,2838,2429880,152,224,1964
80280,3.52,27968179,12,5,4,5,9900,9300,4068,974112,261,202,1914
80281,3.58,5171071,14,4,1,7,6393,9289,7029,9143577,243,174,1835
80282,2.48,24224948,2,7,7,4,2967,1798,5842,7688441,96,1,1968
80283,1.58,9273214,8,1,3,5,3367,1512,6635,4823573,14,259,1913
80284,2.99,1337155,9,3,3,5,1255,4300,1101,4772927,201,278,1860
80285,3.2,21940381,3,5,5,6,4228,5661,573,6086013,16,176,1861
80286,1.94,21329754,14,1,9,1,8350,1707,1303,1914026,120,239,2004
80287,1.67,24824077,11,7,3,2,9176,17,7583,567998,238,184,1888
80288,3.02,27663705,3,7,8,6,6746,3656,4320,2472634,288,111,2017
80289,1.73,24156895,13,5,5,5,4839,4347,3271,7296657,11,224,1925
80290,1.63,6616870,4,5,7,4,2234,5452,9962,2059863,22,244,1859
80291,1.86,2375768,6,5,4,6,5053,9958,8700,4997145,178,82,2008
80292,2.72,3798587,8,3,2,2,1115,5441,2181,2249530,137,7,1915
80293,3.17,11170128,9,9,9,7,5387,6047,305,9641048,118,128,1882
80294,3.35,24102816,4,9,3,1,5110,1365,1845,6822485,222,105,2011
80295,2.71,15881188,8,3,2,4,2467,3284,313,6957193,52,108,1981
80296,2.35,26772547,14,4,6,7,3751,9771,3624,354074,196,281,1984
80297,1.93,14231857,2,9,9,7,4668,8777,7138,78377,23,148,1978
80298,3.26,17782709,7,7,5,7,3111,5717,1215,4664288,32,116,1837
80299,3.09,23079874,4,3,8,4,8882,8841,105,342558,49,1,1861
80300,3.29,7385012,12,8,1,7,1505,3892,1209,5519816,199,218,1878
80301,2.01,10858691,7,5,9,5,496,6900,4299,4946953,148,149,1859
80302,2.7,19194606,7,7,4,2,8762,1075,5083,6257989,279,263,1860
80303,3.16,22018750,8,3,3,2,2903,4598,4448,6600854,253,247,1835
80304,3.46,17836629,8,6,4,3,9566,3672,4572,3731730,70,139,2012
80305,3.84,1898535,11,1,4,1,868,9905,4727,5356852,52,236,1989
80306,2.52,5352342,13,2,3,8,4107,4761,3765,2250416,87,131,1817
80307,1.97,29726512,2,1,4,7,1631,6174,3510,40770,11,70,1824
80308,3.94,11174343,13,5,1,2,569,5539,503,8932954,101,274,1821
80309,3.78,1920788,6,3,1,1,3886,6096,2756,6335701,105,130,1942
80310,3.67,20789085,7,4,7,3,3049,9098,2788,5601541,11,33,1951
80311,2.65,1396129,3,9,5,3,2864,7602,9554,4348386,257,200,1985
80312,1.83,1114161,4,8,8,9,8981,8359,1038,6082572,240,137,1898
80313,2.84,20333208,12,5,2,3,597,2509,4891,4577714,229,59,1862
80314,3.87,6003482,10,2,5,8,930,455,8519,3111966,197,113,1910
80315,3.44,23767952,7,3,8,1,3933,9621,5437,1002397,23,151,1903
80316,1.51,27136447,7,7,2,1,7522,8507,6633,8196746,20,132,1903
80317,3.46,2761935,2,9,4,6,2277,7642,7078,9516107,181,234,1927
80318,3.11,11419570,3,8,4,9,4748,4612,9203,2874287,63,268,1837
80319,3.34,29687340,12,1,4,9,2083,206,6613,8302061,265,131,1856
80320,2.24,18356273,1,2,4,2,6452,1234,8997,8257066,254,254,1857
80321,3.8,27885417,8,9,4,8,2759,440,5884,4849788,78,191,1888
80322,2.88,3813507,14,2,3,6,7197,2502,4499,5047930,114,32,1984
80323,2.32,20338736,1,4,6,8,6118,7299,2443,4788100,87,162,1823
80324,3.15,8833729,4,4,1,2,6968,5501,6065,4645232,75,96,1954
80325,2.25,3038205,9,3,3,7,971,7757,7117,2780573,127,6,1914
80326,2.59,11464251,9,1,9,7,6932,6974,1460,7570092,46,244,1959
80327,2.97,29752247,13,8,1,4,5690,1774,5932,6381724,34,42,1989
80328,2.48,20515317,7,6,2,8,9596,2029,1230,1373789,214,159,1846
80329,3.74,19469133,3,4,3,3,1757,4293,8344,5127326,294,176,1924
80330,3.03,14035484,11,5,2,5,3828,5734,9503,8715128,114,141,1829
80331,3.94,7136736,14,1,7,9,2158,5589,4841,6943052,199,276,1809
80332,2.04,15167274,9,6,5,4,349,8065,8318,5927515,296,12,1819
80333,1.72,23119615,13,1,3,4,609,8020,8556,280865,120,61,1828
80334,3.42,21978325,9,1,6,4,8176,224,1288,9345897,167,181,1989
80335,2.64,28005767,1,6,2,2,15,6680,9376,3877851,115,216,1990
80336,1.71,5582083,9,9,7,7,3443,9082,9238,8376977,130,5,1886
80337,1.68,11698486,7,2,5,3,3634,109,6146,7738916,95,73,1873
80338,1.75,17517029,11,7,5,1,5929,3780,4474,3524045,158,92,1902
80339,2.21,14699533,1,6,1,3,773,4756,4104,447763,128,65,1825
80340,2.53,20532040,3,2,9,6,2596,8793,4799,3372845,215,59,1876
80341,3.58,23821858,4,1,5,4,4862,8765,1762,7193864,124,69,2000
80342,4,10880452,6,6,3,7,7810,9481,4453,786523,81,143,1834
80343,2.69,13470092,13,5,4,5,5800,4586,1725,790717,177,160,1827
80344,2.74,26755069,9,6,5,6,6486,878,8480,3411871,189,298,1882
80345,3.23,705773,9,8,3,5,1172,3543,5857,9017430,20,114,1928
80346,2.46,19611849,7,2,8,2,5567,5695,9171,3168120,185,118,1805
80347,2.68,19972426,11,3,9,2,5611,8022,7392,2278612,66,55,1836
80348,2.33,29570413,4,5,3,7,8869,1967,7248,2605227,252,12,1899
80349,2.76,20525787,7,5,7,8,8231,2893,8270,686185,20,198,1851
80350,2.41,9490972,13,1,6,9,4974,7918,2680,2776345,156,91,1842
80351,1.7,16762419,2,5,2,1,2306,9403,8851,1552673,94,174,1830
80352,2.92,8081449,12,6,2,9,8404,4726,3413,8448105,188,170,1902
80353,2.68,2639665,14,6,5,2,7047,910,5656,3838977,115,204,1855
80354,3.04,15158326,7,5,2,3,8960,9585,3472,554110,175,105,1852
80355,3.11,15574882,5,6,5,5,2975,3153,6256,8078349,175,120,1950
80356,3.34,21187317,8,6,3,1,652,3027,1929,921708,230,208,1889
80357,1.81,15556827,10,4,5,3,6518,6063,9433,9201439,289,20,1984
80358,2.96,1306662,12,7,3,1,9320,1275,4989,2749556,121,142,1867
