points,tags,tag_dict,tag_vect,problem_id_enc,level_enc
  (0, 24)	0.5595830715849842
  (0, 23)	0.5595830715849842",3716,1
500.0,math,['math'],"  (0, 37)	1.0",4498,1
500.0,implementation,['implementation'],"  (0, 35)	1.0",3,0
2250.0,"dp,probabilities,sortings","['dp', 'probabilities', 'sortings']","  (0, 56)	0.5356559872469961
  (0, 47)	0.7169560441646214
  (0, 21)	0.44614649394819095",5210,3
2000.0,"bitmasks,brute force","['bitmasks', 'brute force']","  (0, 27)	0.4446980408234418
  (0, 7)	0.4446980408234418
  (0, 6)	0.4446980408234418
  (0, 5)	0.6377546216715152",3447,3
2000.0,"binary search,greedy","['binary search', 'greedy']","  (0, 52)	0.5139849270625998
  (0, 33)	0.43767425589322995
  (0, 4)	0.5216611642056371
  (0, 3)	0.5216611642056371",546,3
1500.0,"brute force,constructive algorithms,implementation","['brute force', 'constructive algorithms', 'implementation']","  (0, 35)	0.2964031193163125
  (0, 27)	0.3700380170165641
  (0, 14)	0.4088034526708839
  (0, 13)	0.4088034526708839
  (0, 7)	0.3700380170165641
  (0, 6)	0.3700380170165641
  (0, 2)	0.4088034526708839",2703,2
1000.0,"greedy,implementation,strings","['greedy', 'implementation', 'strings']","  (0, 61)	0.7086324549886466
  (0, 35)	0.45427576239270684
  (0, 33)	0.5398829275308572",1627,1
3000.0,"data structures,divide and conquer","['data structures', 'divide and conquer']","  (0, 62)	0.31374914796161846
  (0, 20)	0.48177793828287807
  (0, 19)	0.48177793828287807
  (0, 16)	0.32033695283642843
  (0, 15)	0.32033695283642843
  (0, 12)	0.48177793828287807",1639,5
2500.0,games,['games'],"  (0, 28)	1.0",2183,4
1500.0,"brute force,sortings,two pointers","['brute force', 'sortings', 'two pointers']","  (0, 56)	0.45687671719274275
  (0, 46)	0.5513836646234618
  (0, 27)	0.40300526037657974
  (0, 7)	0.40300526037657974
  (0, 6)	0.40300526037657974",3202,2
2000.0,"math,ternary search","['math', 'ternary search']","  (0, 66)	0.6187146762091963
  (0, 65)	0.6187146762091963
  (0, 52)	0.36931252892980854
  (0, 37)	0.31303762531390383",720,3
750.0,"brute force,implementation,math","['brute force', 'implementation', 'math']","  (0, 37)	0.4447468316342108
  (0, 35)	0.37595074899627445
  (0, 27)	0.46934752230462495
  (0, 7)	0.46934752230462495
  (0, 6)	0.46934752230462495",603,0
1500.0,"brute force,constructive algorithms","['brute force', 'constructive algorithms']","  (0, 27)	0.3874488343122914
  (0, 14)	0.42803823909013083
  (0, 13)	0.42803823909013083
  (0, 7)	0.3874488343122914
  (0, 6)	0.3874488343122914
  (0, 2)	0.42803823909013083",3802,2
1500.0,"data structures,greedy","['data structures', 'greedy']","  (0, 62)	0.5000947375249198
  (0, 33)	0.47800652376165875
  (0, 16)	0.5105952490677799
  (0, 15)	0.5105952490677799",4822,3
1500.0,"combinatorics,dfs and similar,graphs,trees","['combinatorics', 'dfs and similar', 'graphs', 'trees']","  (0, 69)	0.42660120856914224
  (0, 55)	0.38665956249201483
  (0, 32)	0.4120088114853415
  (0, 18)	0.38665956249201483
  (0, 17)	0.38665956249201483
  (0, 11)	0.44692649989258254",5012,3
2000.0,"dp,greedy,math","['dp', 'greedy', 'math']","  (0, 37)	0.5771402159408785
  (0, 33)	0.5798016640014267
  (0, 21)	0.5750992971347582",3488,3
500.0,implementation,['implementation'],"  (0, 35)	1.0",1346,0
500.0,implementation,['implementation'],"  (0, 35)	1.0",6306,0
2000.0,"brute force,dp,strings","['brute force', 'dp', 'strings']","  (0, 61)	0.5350895793692757
  (0, 27)	0.42824134612957365
  (0, 21)	0.40436022361973706
  (0, 7)	0.42824134612957365
  (0, 6)	0.42824134612957365",5033,3
2000.0,"bitmasks,constructive algorithms,dp,greedy","['bitmasks', 'constructive algorithms', 'dp', 'greedy']","  (0, 33)	0.34723435109966694
  (0, 21)	0.34441817548486875
  (0, 14)	0.4029715997378456
  (0, 13)	0.4029715997378456
  (0, 5)	0.5231119337448079
  (0, 2)	0.4029715997378456",5746,3
2000.0,"dp,games","['dp', 'games']","  (0, 28)	0.8588402120288889
  (0, 21)	0.5122435848326194",6487,4
2000.0,"data structures,strings","['data structures', 'strings']","  (0, 62)	0.46329701031250653
  (0, 61)	0.5812493519918441
  (0, 16)	0.47302487833334644
  (0, 15)	0.47302487833334644",3106,3
500.0,implementation,['implementation'],"  (0, 35)	1.0",5943,0
1500.0,"flows,graph matchings","['flows', 'graph matchings']","  (0, 36)	0.5108440917899533
  (0, 31)	0.5108440917899533
  (0, 30)	0.5108440917899533
  (0, 26)	0.4659559438937262",2590,2
2000.0,"constructive algorithms,dsu,graphs,implementation,string suffix structures","['constructive algorithms', 'dsu', 'graphs', 'implementation', 'string suffix structures']","  (0, 64)	0.352633235866002
  (0, 63)	0.352633235866002
  (0, 62)	0.2067522501661879
  (0, 60)	0.352633235866002
  (0, 59)	0.352633235866002
  (0, 58)	0.352633235866002
  (0, 35)	0.16628449502407425
  (0, 32)	0.2499357870313144
  (0, 22)	0.2959575332775631
  (0, 14)	0.22934197132700293
  (0, 13)	0.22934197132700293
  (0, 2)	0.22934197132700293",5707,3
500.0,math,['math'],"  (0, 37)	1.0",2198,0
3000.0,"data structures,dsu,graphs,trees","['data structures', 'dsu', 'graphs', 'trees']","  (0, 69)	0.43812214254357534
  (0, 62)	0.3500269030122343
  (0, 32)	0.423135658335889
  (0, 22)	0.5010494382190149
  (0, 16)	0.3573764335303561
  (0, 15)	0.3573764335303561",1291,5
500.0,"binary search,math","['binary search', 'math']","  (0, 52)	0.5144364345710868
  (0, 37)	0.4360479194132385
  (0, 4)	0.5221194148665484
  (0, 3)	0.5221194148665484",2669,0
1500.0,"geometry,implementation,sortings","['geometry', 'implementation', 'sortings']","  (0, 56)	0.5857699385229936
  (0, 35)	0.41388071748064803
  (0, 29)	0.6968330724215608",3074,2
500.0,implementation,['implementation'],"  (0, 35)	1.0",5637,0
1250.0,"dp,greedy","['dp', 'greedy']","  (0, 33)	0.7099799961551347
  (0, 21)	0.7042218436398824",5666,1
2500.0,"combinatorics,dp","['combinatorics', 'dp']","  (0, 21)	0.5859036619853756
  (0, 11)	0.8103807123026353",1042,4
500.0,"binary search,data structures","['binary search', 'data structures']","  (0, 62)	0.37957769344396236
  (0, 52)	0.4260706344800462
  (0, 16)	0.38754770322880217
  (0, 15)	0.38754770322880217
  (0, 4)	0.4324338935130389
  (0, 3)	0.4324338935130389",699,1
500.0,"brute force,implementation","['brute force', 'implementation']","  (0, 35)	0.41974888999677135
  (0, 27)	0.5240263572717433
  (0, 7)	0.5240263572717433
  (0, 6)	0.5240263572717433",2769,0
1000.0,"greedy,implementation","['greedy', 'implementation']","  (0, 35)	0.643835105031232
  (0, 33)	0.7651642683302863",1425,1
500.0,"geometry,math","['geometry', 'math']","  (0, 37)	0.5749071630765996
  (0, 29)	0.818218646721777",4724,0
1500.0,"combinatorics,dp,probabilities","['combinatorics', 'dp', 'probabilities']","  (0, 47)	0.6855071140834587
  (0, 21)	0.4265764937950003
  (0, 11)	0.5900105859071787",2560,2
2500.0,"dp,hashing,strings","['dp', 'hashing', 'strings']","  (0, 61)	0.5729932054653404
  (0, 34)	0.6958352933384698
  (0, 21)	0.43300350002640836",4375,4
1500.0,"greedy,implementation","['greedy', 'implementation']","  (0, 35)	0.643835105031232
  (0, 33)	0.7651642683302863",829,2
1500.0,data structures,['data structures'],"  (0, 62)	0.569352944945379
  (0, 16)	0.5813076741631853
  (0, 15)	0.5813076741631853",5839,2
2500.0,flows,['flows'],"  (0, 26)	1.0",3026,4
500.0,"implementation,strings","['implementation', 'strings']","  (0, 61)	0.8418660827494792
  (0, 35)	0.5396864818726211",4668,0
1000.0,"data structures,dp,implementation","['data structures', 'dp', 'implementation']","  (0, 62)	0.4647105817379858
  (0, 35)	0.37375247115584775
  (0, 21)	0.44058274098201033
  (0, 16)	0.47446813058119025
  (0, 15)	0.47446813058119025",217,1
1500.0,dp,['dp'],"  (0, 21)	1.0",1713,2
1500.0,"greedy,sortings","['greedy', 'sortings']","  (0, 56)	0.765815093250802
  (0, 33)	0.6430608392285022",1872,2
500.0,implementation,['implementation'],"  (0, 35)	1.0",952,3
500.0,"dfs and similar,greedy,implementation","['dfs and similar', 'greedy', 'implementation']","  (0, 55)	0.48723020850365795
  (0, 35)	0.3454102864367324
  (0, 33)	0.4105020167893705
  (0, 18)	0.48723020850365795
  (0, 17)	0.48723020850365795",1517,1
1500.0,"constructive algorithms,greedy","['constructive algorithms', 'greedy']","  (0, 33)	0.44541756120237624
  (0, 14)	0.5169149498620083
  (0, 13)	0.5169149498620083
  (0, 2)	0.5169149498620083",378,2
1000.0,"data structures,two pointers","['data structures', 'two pointers']","  (0, 62)	0.4484681969258781
  (0, 46)	0.6160839817753344
  (0, 16)	0.4578847036896413
  (0, 15)	0.4578847036896413",435,1
2000.0,"dp,string suffix structures,strings,two pointers","['dp', 'string suffix structures', 'strings', 'two pointers']","  (0, 64)	0.3822878438748906
  (0, 63)	0.3822878438748906
  (0, 62)	0.22413903141661937
  (0, 61)	0.28120334011892656
  (0, 60)	0.3822878438748906
  (0, 59)	0.3822878438748906
  (0, 58)	0.3822878438748906
  (0, 46)	0.30791139236399545
  (0, 21)	0.21250170042021024",2553,3
2000.0,"binary search,data structures,probabilities,sortings","['binary search', 'data structures', 'probabilities', 'sortings']","  (0, 62)	0.3077641073832401
  (0, 56)	0.35032519082622376
  (0, 52)	0.34546089184853795
  (0, 47)	0.4688975181195345
  (0, 16)	0.3142262440936763
  (0, 15)	0.3142262440936763
  (0, 4)	0.35062026440957716
  (0, 3)	0.35062026440957716",6190,2
1500.0,"combinatorics,dp,math","['combinatorics', 'dp', 'math']","  (0, 37)	0.5068584924232472
  (0, 21)	0.5050661081799452
  (0, 11)	0.6985718968197883",4883,2
500.0,brute force,['brute force'],"  (0, 27)	0.5773502691896257
  (0, 7)	0.5773502691896257
  (0, 6)	0.5773502691896257",4534,0
1000.0,brute force,['brute force'],"  (0, 27)	0.5773502691896257
  (0, 7)	0.5773502691896257
  (0, 6)	0.5773502691896257",5076,1
500.0,"brute force,implementation","['brute force', 'implementation']","  (0, 35)	0.41974888999677135
  (0, 27)	0.5240263572717433
  (0, 7)	0.5240263572717433
  (0, 6)	0.5240263572717433",1298,0
1000.0,"constructive algorithms,implementation,strings","['constructive algorithms', 'implementation', 'strings']","  (0, 61)	0.5159735895054761
  (0, 35)	0.3307699133690639
  (0, 14)	0.4562026301775181
  (0, 13)	0.4562026301775181
  (0, 2)	0.4562026301775181",4479,1
1500.0,"brute force,data structures,dp,greedy","['brute force', 'data structures', 'dp', 'greedy']","  (0, 62)	0.35529359487196377
  (0, 33)	0.3396009664890099
  (0, 27)	0.3567405392325413
  (0, 21)	0.3368466999322609
  (0, 16)	0.36275371035432546
  (0, 15)	0.36275371035432546
  (0, 7)	0.3567405392325413
  (0, 6)	0.3567405392325413",5864,2
1000.0,"greedy,implementation","['greedy', 'implementation']","  (0, 35)	0.643835105031232
  (0, 33)	0.7651642683302863",2826,1
1500.0,dp,['dp'],"  (0, 21)	1.0",5098,2
500.0,"implementation,sortings","['implementation', 'sortings']","  (0, 56)	0.8167076220666944
  (0, 35)	0.5770516961747584",5163,0
500.0,"implementation,strings","['implementation', 'strings']","  (0, 61)	0.8418660827494792
  (0, 35)	0.5396864818726211",1914,0
2500.0,"binary search,brute force,combinatorics,dp,implementation","['binary search', 'brute force', 'combinatorics', 'dp', 'implementation']","  (0, 52)	0.35240675332271854
  (0, 35)	0.25250199450818733
  (0, 27)	0.31523061415836723
  (0, 21)	0.2976515994658223
  (0, 11)	0.4116907451572687
  (0, 7)	0.31523061415836723
  (0, 6)	0.31523061415836723
  (0, 4)	0.3576698605985931
  (0, 3)	0.3576698605985931",4477,5
2500.0,"dfs and similar,dp,graphs,shortest paths","['dfs and similar', 'dp', 'graphs', 'shortest paths']","  (0, 55)	0.3132703727308686
  (0, 54)	0.4185768253277996
  (0, 53)	0.4185768253277996
  (0, 45)	0.4185768253277996
  (0, 32)	0.3338082552790367
  (0, 21)	0.2617964730668763
  (0, 18)	0.3132703727308686
  (0, 17)	0.3132703727308686",1168,4
2750.0,"bitmasks,dp,greedy","['bitmasks', 'dp', 'greedy']","  (0, 33)	0.4848763812487096
  (0, 21)	0.4809438871370534
  (0, 5)	0.7304709934916358",4948,5
2500.0,"data structures,divide and conquer,trees","['data structures', 'divide and conquer', 'trees']","  (0, 69)	0.36553690922114707
  (0, 62)	0.29203671726912717
  (0, 20)	0.44843738528982896
  (0, 19)	0.44843738528982896
  (0, 16)	0.2981686252668005
  (0, 15)	0.2981686252668005
  (0, 12)	0.44843738528982896",5757,4
2500.0,"data structures,dsu,trees","['data structures', 'dsu', 'trees']","  (0, 69)	0.48354311668418504
  (0, 62)	0.38631487243084256
  (0, 22)	0.5529942074205609
  (0, 16)	0.39442634306381724
  (0, 15)	0.39442634306381724",519,4
500.0,"implementation,math","['implementation', 'math']","  (0, 37)	0.7637024449468292
  (0, 35)	0.6455684127822824",5198,0
1000.0,implementation,['implementation'],"  (0, 35)	1.0",5272,1
500.0,implementation,['implementation'],"  (0, 35)	1.0",6113,0
500.0,"constructive algorithms,data structures,implementation,two pointers","['constructive algorithms', 'data structures', 'implementation', 'two pointers']","  (0, 62)	0.3277317407160862
  (0, 46)	0.45022206069140547
  (0, 35)	0.2635845895971176
  (0, 16)	0.334613138715559
  (0, 15)	0.334613138715559
  (0, 14)	0.36353966364013696
  (0, 13)	0.36353966364013696
  (0, 2)	0.36353966364013696",2918,0
2500.0,constructive algorithms,['constructive algorithms'],"  (0, 14)	0.5773502691896258
  (0, 13)	0.5773502691896258
  (0, 2)	0.5773502691896258",5784,3
1500.0,dfs and similar,['dfs and similar'],"  (0, 55)	0.5773502691896257
  (0, 18)	0.5773502691896257
  (0, 17)	0.5773502691896257",307,2
3000.0,"dp,fft,probabilities","['dp', 'fft', 'probabilities']","  (0, 47)	0.5756881183598157
  (0, 25)	0.7350159111854969
  (0, 21)	0.35823846901678286",5203,4
2000.0,"binary search,data structures,sortings","['binary search', 'data structures', 'sortings']","  (0, 62)	0.3484440519734711
  (0, 56)	0.39663081584709964
  (0, 52)	0.39112355881116245
  (0, 16)	0.3557603472976266
  (0, 15)	0.3557603472976266
  (0, 4)	0.39696489195457096
  (0, 3)	0.39696489195457096",193,3
1000.0,math,['math'],"  (0, 37)	1.0",1087,0
1500.0,"string suffix structures,strings","['string suffix structures', 'strings']","  (0, 64)	0.41222353058540717
  (0, 63)	0.41222353058540717
  (0, 62)	0.24169061180713372
  (0, 61)	0.30322343630201615
  (0, 60)	0.41222353058540717
  (0, 59)	0.41222353058540717
  (0, 58)	0.41222353058540717",39,2
1000.0,two pointers,['two pointers'],"  (0, 46)	1.0",6282,1
1500.0,"combinatorics,dp","['combinatorics', 'dp']","  (0, 21)	0.5859036619853756
  (0, 11)	0.8103807123026353",534,2
500.0,sortings,['sortings'],"  (0, 56)	1.0",5312,0
500.0,brute force,['brute force'],"  (0, 27)	0.5773502691896257
  (0, 7)	0.5773502691896257
  (0, 6)	0.5773502691896257",1822,0
2500.0,data structures,['data structures'],"  (0, 62)	0.569352944945379
  (0, 16)	0.5813076741631853
  (0, 15)	0.5813076741631853",2701,5
1000.0,"implementation,math","['implementation', 'math']","  (0, 37)	0.7637024449468292
  (0, 35)	0.6455684127822824",553,1
500.0,brute force,['brute force'],"  (0, 27)	0.5773502691896257
  (0, 7)	0.5773502691896257
  (0, 6)	0.5773502691896257",4983,0
500.0,"greedy,math","['greedy', 'math']","  (0, 37)	0.7054782744958024
  (0, 33)	0.7087315459427675",6244,0
2000.0,"binary search,data structures,geometry,sortings,two pointers","['binary search', 'data structures', 'geometry', 'sortings', 'two pointers']","  (0, 62)	0.2891919220215814
  (0, 56)	0.32918463471588705
  (0, 52)	0.32461387439362216
  (0, 46)	0.39727791633297216
  (0, 29)	0.391598689720122
  (0, 16)	0.2952640977263661
  (0, 15)	0.2952640977263661
  (0, 4)	0.32946190193016134
  (0, 3)	0.32946190193016134",5260,3
1500.0,"brute force,constructive algorithms,hashing,string suffix structures,strings","['brute force', 'constructive algorithms', 'hashing', 'string suffix structures', 'strings']","  (0, 64)	0.3334923388956711
  (0, 63)	0.3334923388956711
  (0, 62)	0.19552975859049632
  (0, 61)	0.24531033644958472
  (0, 60)	0.3334923388956711
  (0, 59)	0.3334923388956711
  (0, 58)	0.3334923388956711
  (0, 34)	0.2979015951571884
  (0, 27)	0.196326059693587
  (0, 14)	0.21689331193344868
  (0, 13)	0.21689331193344868
  (0, 7)	0.196326059693587
  (0, 6)	0.196326059693587
  (0, 2)	0.21689331193344868",5632,1
500.0,"brute force,constructive algorithms,math,number theory","['brute force', 'constructive algorithms', 'math', 'number theory']","  (0, 68)	0.36503797705562496
  (0, 43)	0.36503797705562496
  (0, 42)	0.36503797705562496
  (0, 37)	0.26701620013254634
  (0, 27)	0.2817859128684715
  (0, 14)	0.3113059977550672
  (0, 13)	0.3113059977550672
  (0, 7)	0.2817859128684715
  (0, 6)	0.2817859128684715
  (0, 2)	0.3113059977550672",302,1
2500.0,"data structures,dsu","['data structures', 'dsu']","  (0, 62)	0.44134103236819244
  (0, 22)	0.6317619429480074
  (0, 16)	0.4506078897393701
  (0, 15)	0.4506078897393701",5677,4
1500.0,"math,sortings","['math', 'sortings']","  (0, 56)	0.7672695625273075
  (0, 37)	0.6413247371021598",539,2
2500.0,"graphs,greedy,shortest paths","['graphs', 'greedy', 'shortest paths']","  (0, 54)	0.49791411181995787
  (0, 53)	0.49791411181995787
  (0, 45)	0.49791411181995787
  (0, 33)	0.3139638654767157
  (0, 32)	0.397078459408901",900,4
2000.0,"combinatorics,dp","['combinatorics', 'dp']","  (0, 21)	0.5859036619853756
  (0, 11)	0.8103807123026353",4122,3
2000.0,games,['games'],"  (0, 28)	1.0",4023,3
1500.0,"brute force,constructive algorithms,dp,implementation,strings","['brute force', 'constructive algorithms', 'dp', 'implementation', 'strings']","  (0, 61)	0.4000398896790583
  (0, 35)	0.25644948180416055
  (0, 27)	0.32015876867499077
  (0, 21)	0.3023049326397087
  (0, 14)	0.35369882017105386
  (0, 13)	0.35369882017105386
  (0, 7)	0.32015876867499077
  (0, 6)	0.32015876867499077
  (0, 2)	0.35369882017105386",1236,2
2500.0,"binary search,two pointers","['binary search', 'two pointers']","  (0, 52)	0.4683962475126431
  (0, 46)	0.5732456309133718
  (0, 4)	0.47539162905693094
  (0, 3)	0.47539162905693094",589,5
2500.0,"data structures,dp","['data structures', 'dp']","  (0, 62)	0.5010202805652976
  (0, 21)	0.47500723498371566
  (0, 16)	0.5115402257767201
  (0, 15)	0.5115402257767201",4696,4
1000.0,implementation,['implementation'],"  (0, 35)	1.0",6518,1
500.0,implementation,['implementation'],"  (0, 35)	1.0",2129,0
1250.0,"data structures,sortings","['data structures', 'sortings']","  (0, 62)	0.4777870182358637
  (0, 56)	0.5438607827303986
  (0, 16)	0.48781913360033374
  (0, 15)	0.48781913360033374",3666,2
1750.0,"dfs and similar,strings,trees","['dfs and similar', 'strings', 'trees']","  (0, 69)	0.47302656727730014
  (0, 61)	0.4741270570940721
  (0, 55)	0.42873822641994824
